Sexo,Edad,Año,Muy bueno o bueno,Regular,Malo o muy malo
Hombres,15-24,2014,93.120000000000005,5.3499999999999996,1.53
Hombres,25-34,2014,87.890000000000001,9.3900000000000006,2.7200000000000002
Hombres,35-44,2014,83.420000000000002,13.17,3.4100000000000001
Hombres,45-54,2014,75.459999999999994,18.82,5.71
Hombres,55-64,2014,65.569999999999993,24.359999999999999,10.07
Hombres,65-74,2014,59.700000000000003,28.370000000000001,11.92
Hombres,75-84,2014,39.590000000000003,39,21.41
Hombres,85+,2014,36.759999999999998,36.43,26.800000000000001
Mujeres,15-24,2014,88.319999999999993,10.630000000000001,1.05
Mujeres,25-34,2014,83.170000000000002,14.220000000000001,2.6000000000000001
Mujeres,35-44,2014,79.180000000000007,16.539999999999999,4.2800000000000002
Mujeres,45-54,2014,71.310000000000002,20.91,7.7800000000000002
Mujeres,55-64,2014,57.009999999999998,28.949999999999999,14.039999999999999
Mujeres,65-74,2014,46.840000000000003,35.560000000000002,17.609999999999999
Mujeres,75-84,2014,34.369999999999997,39.18,26.449999999999999
Mujeres,85+,2014,26.77,41.420000000000002,31.800000000000001
Hombres,15-24,2020,93.900000000000006,5.4500000000000002,0.65000000000000002
Hombres,25-34,2020,92.310000000000002,6.8499999999999996,0.83999999999999997
Hombres,35-44,2020,87.140000000000001,10.220000000000001,2.6400000000000001
Hombres,45-54,2020,82.099999999999994,12.99,4.9100000000000001
Hombres,55-64,2020,72.219999999999999,20.41,7.3700000000000001
Hombres,65-74,2020,66.040000000000006,23.98,9.9900000000000002
Hombres,75-84,2020,49.649999999999999,34.509999999999998,15.85
Hombres,85+,2020,38.439999999999998,40.560000000000002,20.98
Mujeres,15-24,2020,90.670000000000002,8.3200000000000003,1.02
Mujeres,25-34,2020,87.069999999999993,11.09,1.8300000000000001
Mujeres,35-44,2020,84,12.84,3.1499999999999999
Mujeres,45-54,2020,76.540000000000006,16.18,7.2800000000000002
Mujeres,55-64,2020,67.890000000000001,23.52,8.5899999999999999
Mujeres,65-74,2020,56.490000000000002,30.59,12.92
Mujeres,75-84,2020,39,37.780000000000001,23.219999999999999
Mujeres,85+,2020,28.780000000000001,36.880000000000003,34.329999999999998
